iter	Passed	Remaining
0	160	160100
1	165	82814
2	171	57054
3	177	44092
4	184	36716
5	190	31638
6	196	27834
7	201	25017
8	206	22789
9	212	21020
10	219	19698
11	226	18665
12	231	17571
13	235	16575
14	238	15694
15	242	14886
16	245	14176
17	247	13503
18	250	12928
19	252	12391
20	254	11880
21	256	11419
22	258	10989
23	260	10588
24	262	10223
25	264	9895
26	265	9579
27	267	9275
28	268	8995
29	270	8730
30	271	8496
31	273	8268
32	274	8047
33	275	7838
34	277	7641
35	278	7464
36	280	7297
37	281	7127
38	282	6965
39	283	6814
40	285	6674
41	287	6547
42	288	6417
43	289	6291
44	290	6170
45	292	6056
46	293	5956
47	295	5859
48	296	5756
49	297	5660
50	299	5568
51	300	5484
52	302	5398
53	303	5314
54	304	5233
55	305	5155
56	307	5084
57	308	5016
58	310	4946
59	311	4876
60	312	4810
61	314	4751
62	315	4695
63	316	4634
64	318	4576
65	319	4518
66	320	4465
67	321	4408
68	323	4363
69	324	4312
70	325	4261
71	326	4212
72	328	4166
73	329	4125
74	331	4083
75	332	4039
76	333	3996
77	334	3956
78	336	3918
79	337	3884
80	338	3845
81	340	3808
82	341	3771
83	342	3736
84	343	3701
85	345	3670
86	346	3632
87	347	3599
88	348	3566
89	349	3537
90	351	3510
91	352	3483
92	354	3455
93	355	3426
94	356	3397
95	357	3370
96	359	3347
97	361	3323
98	362	3297
99	363	3270
100	364	3247
101	365	3219
102	367	3198
103	368	3175
104	369	3151
105	370	3128
106	372	3106
107	373	3087
108	375	3071
109	377	3051
110	378	3031
111	380	3019
112	383	3006
113	384	2989
114	386	2970
115	387	2952
116	389	2936
117	390	2919
118	391	2900
119	393	2882
120	394	2864
121	395	2849
122	396	2830
123	398	2813
124	399	2796
125	400	2779
126	402	2765
127	403	2748
128	404	2733
129	406	2717
130	407	2700
131	408	2685
132	409	2672
133	411	2660
134	412	2645
135	414	2630
136	415	2615
137	416	2600
138	418	2589
139	419	2577
140	420	2563
141	421	2549
142	422	2534
143	424	2524
144	426	2514
145	427	2501
146	428	2488
147	430	2475
148	431	2464
149	433	2456
150	434	2444
151	435	2432
152	436	2419
153	438	2406
154	439	2396
155	441	2386
156	442	2374
157	443	2363
158	444	2351
159	445	2341
160	447	2332
161	449	2323
162	450	2312
163	451	2301
164	452	2291
165	454	2282
166	455	2273
167	457	2263
168	458	2254
169	459	2244
170	461	2235
171	462	2226
172	463	2217
173	464	2207
174	466	2198
175	467	2190
176	469	2181
177	470	2172
178	472	2165
179	473	2157
180	474	2146
181	476	2139
182	477	2131
183	478	2122
184	479	2114
185	481	2107
186	483	2102
187	485	2096
188	486	2089
189	488	2080
190	489	2073
191	491	2067
192	492	2060
193	494	2053
194	495	2045
195	497	2039
196	498	2033
197	500	2026
198	501	2018
199	503	2014
200	505	2008
201	507	2003
202	508	1997
203	511	1994
204	513	1990
205	517	1994
206	519	1991
207	524	1996
208	526	1990
209	528	1988
210	531	1986
211	534	1986
212	537	1986
213	540	1985
214	542	1982
215	555	2016
216	557	2011
217	559	2008
218	561	2003
219	563	1997
220	565	1991
221	567	1987
222	569	1982
223	570	1976
224	572	1970
225	574	1966
226	575	1961
227	577	1955
228	578	1948
229	580	1944
230	582	1939
231	584	1934
232	585	1928
233	587	1923
234	589	1919
235	591	1913
236	592	1907
237	593	1901
238	596	1898
239	597	1892
240	599	1886
241	600	1880
242	601	1874
243	603	1870
244	605	1864
245	606	1858
246	607	1852
247	609	1846
248	610	1841
249	611	1835
250	613	1829
251	614	1823
252	615	1817
253	616	1811
254	618	1806
255	619	1800
256	620	1794
257	622	1788
258	623	1783
259	624	1777
260	625	1771
261	626	1765
262	628	1760
263	629	1754
264	630	1748
265	631	1743
266	632	1737
267	634	1731
268	635	1725
269	636	1720
270	637	1714
271	638	1708
272	639	1702
273	640	1697
274	641	1691
275	642	1686
276	643	1680
277	644	1674
278	646	1669
279	647	1664
280	648	1658
281	649	1653
282	650	1648
283	651	1643
284	653	1638
285	654	1633
286	655	1628
287	656	1622
288	657	1617
289	658	1612
290	660	1608
291	661	1603
292	662	1598
293	663	1594
294	665	1589
295	666	1584
296	667	1579
297	668	1574
298	669	1569
299	670	1564
300	671	1559
301	672	1554
302	673	1549
303	674	1544
304	675	1540
305	676	1535
306	678	1530
307	679	1525
308	680	1521
309	681	1516
310	682	1511
311	683	1507
312	684	1502
313	685	1497
314	686	1493
315	687	1488
316	688	1484
317	689	1479
318	691	1475
319	692	1471
320	693	1466
321	694	1462
322	695	1458
323	696	1453
324	697	1449
325	699	1445
326	700	1441
327	701	1436
328	702	1432
329	703	1428
330	704	1424
331	705	1419
332	706	1415
333	707	1411
334	708	1407
335	710	1403
336	711	1399
337	712	1395
338	713	1391
339	714	1387
340	715	1383
341	716	1379
342	717	1375
343	719	1371
344	720	1367
345	721	1363
346	722	1359
347	723	1355
348	724	1351
349	725	1347
350	726	1343
351	727	1339
352	728	1335
353	729	1332
354	731	1328
355	732	1324
356	733	1320
357	734	1316
358	735	1313
359	736	1309
360	737	1305
361	738	1302
362	739	1298
363	741	1295
364	742	1292
365	744	1289
366	745	1286
367	746	1282
368	748	1279
369	749	1275
370	750	1272
371	751	1268
372	752	1265
373	753	1261
374	754	1258
375	755	1254
376	757	1251
377	758	1247
378	759	1243
379	760	1240
380	761	1236
381	762	1233
382	763	1230
383	764	1226
384	765	1223
385	767	1220
386	768	1216
387	769	1213
388	770	1210
389	771	1207
390	772	1203
391	773	1200
392	775	1197
393	776	1193
394	777	1191
395	778	1188
396	780	1184
397	781	1181
398	782	1178
399	783	1175
400	784	1172
401	785	1168
402	786	1165
403	788	1162
404	789	1159
405	790	1156
406	791	1153
407	792	1150
408	794	1147
409	795	1144
410	796	1141
411	797	1137
412	798	1135
413	799	1132
414	800	1128
415	802	1125
416	803	1122
417	804	1120
418	805	1117
419	806	1114
420	808	1111
421	809	1108
422	810	1105
423	811	1102
424	812	1099
425	814	1097
426	815	1094
427	816	1091
428	817	1088
429	818	1085
430	819	1082
431	821	1079
432	822	1076
433	823	1074
434	824	1071
435	825	1068
436	827	1065
437	828	1062
438	829	1059
439	830	1056
440	831	1054
441	832	1051
442	833	1048
443	834	1045
444	836	1042
445	837	1039
446	838	1037
447	839	1034
448	840	1031
449	841	1028
450	842	1026
451	844	1023
452	845	1020
453	846	1017
454	847	1015
455	848	1012
456	850	1010
457	851	1007
458	852	1004
459	853	1002
460	855	999
461	856	996
462	857	994
463	858	991
464	859	989
465	861	987
466	862	984
467	863	981
468	864	979
469	866	976
470	867	974
471	868	971
472	869	969
