iter	Passed	Remaining
0	88	87956
1	89	44777
2	92	30873
3	97	24163
4	100	19913
5	101	16885
6	106	15149
7	108	13509
8	110	12170
9	115	11449
10	117	10529
11	119	9813
12	122	9288
13	124	8745
14	126	8298
15	128	7877
16	129	7493
17	132	7239
18	134	6956
19	136	6685
20	137	6433
21	141	6300
22	143	6115
23	145	5911
24	147	5748
25	149	5612
26	151	5469
27	153	5323
28	155	5209
29	157	5084
30	158	4967
31	162	4928
32	164	4830
33	166	4726
34	167	4621
35	171	4602
36	173	4515
37	174	4429
38	176	4356
39	179	4316
40	181	4241
41	183	4176
42	185	4122
43	186	4056
44	189	4023
45	193	4017
46	195	3958
47	196	3898
48	200	3895
49	202	3848
50	203	3794
51	205	3753
52	208	3723
53	210	3683
54	211	3634
55	213	3603
56	215	3560
57	216	3519
58	219	3503
59	221	3469
60	222	3428
61	224	3389
62	225	3352
63	227	3325
64	229	3301
65	231	3273
66	232	3238
67	233	3203
68	235	3184
69	238	3162
70	239	3131
71	240	3100
72	242	3074
73	243	3049
74	245	3023
75	246	2997
76	250	2996
77	251	2973
78	252	2947
79	254	2921
80	255	2895
81	256	2871
82	259	2864
83	261	2846
84	262	2822
85	263	2800
86	265	2788
87	268	2782
88	269	2761
89	270	2739
90	272	2724
91	274	2710
92	275	2691
93	279	2690
94	282	2691
95	284	2683
96	286	2667
97	289	2660
98	290	2644
99	292	2628
100	294	2621
101	297	2616
102	298	2602
103	301	2595
104	304	2599
105	306	2586
106	310	2594
107	313	2592
108	319	2613
109	321	2600
110	322	2585
111	324	2575
112	327	2573
113	329	2561
114	331	2553
115	333	2543
116	335	2529
117	337	2524
118	341	2525
119	342	2513
120	344	2500
121	345	2487
122	351	2504
123	352	2493
124	357	2503
125	359	2495
126	361	2483
127	364	2480
128	366	2471
129	371	2483
130	374	2481
131	375	2470
132	378	2469
133	380	2457
134	382	2450
135	384	2443
136	386	2435
137	388	2424
138	390	2417
139	392	2408
140	393	2397
141	395	2392
142	398	2386
143	399	2375
144	400	2364
145	402	2353
146	405	2352
147	408	2349
148	409	2340
149	411	2331
150	413	2326
151	415	2320
152	417	2309
153	419	2303
154	421	2295
155	422	2286
156	425	2284
157	428	2283
158	429	2274
159	431	2264
160	432	2252
161	435	2253
162	437	2246
163	438	2237
164	440	2227
165	442	2224
166	446	2225
167	447	2218
168	450	2214
169	452	2208
170	453	2200
171	459	2211
172	461	2203
173	462	2195
174	466	2199
175	468	2194
176	470	2185
177	473	2184
178	475	2182
179	477	2174
180	479	2168
181	481	2162
182	482	2154
183	484	2148
184	487	2147
185	489	2141
186	490	2133
187	491	2124
188	493	2116
189	498	2125
190	499	2117
191	501	2109
192	503	2107
193	505	2101
194	507	2093
195	508	2085
196	510	2079
197	511	2072
198	512	2064
199	515	2060
200	517	2058
201	519	2051
202	520	2043
203	521	2035
204	522	2027
205	523	2018
206	529	2026
207	530	2020
208	532	2014
209	534	2011
210	537	2009
211	538	2002
212	540	1998
213	543	1994
214	544	1988
215	550	1996
216	551	1991
217	553	1984
218	554	1978
219	557	1975
220	559	1971
221	560	1964
222	561	1957
223	564	1954
224	566	1951
225	568	1946
226	569	1939
227	571	1934
228	572	1928
229	574	1922
230	579	1929
231	581	1924
232	583	1919
233	584	1913
234	591	1926
235	595	1927
236	598	1927
237	601	1924
238	602	1919
239	604	1914
240	607	1913
241	610	1912
242	611	1906
243	613	1900
244	618	1906
245	620	1900
246	622	1898
247	625	1897
248	627	1892
249	629	1889
250	631	1885
251	633	1880
252	638	1886
253	641	1883
254	643	1878
255	647	1882
256	649	1877
257	654	1881
258	659	1887
259	661	1882
260	664	1880
261	667	1879
262	669	1877
263	671	1872
264	676	1876
265	678	1873
266	680	1868
267	682	1864
268	686	1866
269	689	1864
270	692	1862
271	695	1860
272	697	1856
273	699	1853
274	701	1848
275	702	1843
276	708	1849
277	710	1845
278	712	1840
279	715	1839
280	719	1840
281	723	1841
282	725	1837
283	732	1847
284	737	1849
285	740	1847
286	742	1843
287	746	1845
288	749	1843
289	751	1840
290	753	1835
291	757	1835
292	759	1833
293	761	1828
294	764	1827
295	768	1827
296	770	1823
297	773	1823
298	777	1821
299	779	1817
300	781	1814
301	782	1809
302	786	1809
303	789	1808
304	791	1804
305	797	1808
306	798	1803
307	801	1800
308	804	1799
309	810	1803
310	813	1801
311	814	1796
312	820	1800
313	823	1798
314	828	1800
315	829	1796
316	831	1792
317	834	1789
318	836	1786
319	839	1783
320	840	1778
321	842	1773
322	845	1772
323	848	1770
324	850	1766
325	852	1761
326	856	1762
327	858	1758
328	860	1754
329	863	1752
330	866	1750
331	867	1746
332	869	1741
333	873	1741
334	874	1736
335	879	1738
336	883	1738
337	887	1738
338	889	1733
339	891	1730
340	895	1731
341	898	1729
342	900	1725
343	902	1720
344	907	1722
345	909	1718
346	910	1713
347	914	1713
348	916	1709
349	918	1705
350	923	1708
351	925	1704
352	928	1701
353	930	1698
354	933	1695
355	937	1696
356	947	1706
357	949	1703
358	955	1705
359	958	1704
360	961	1701
361	963	1698
362	970	1702
363	976	1706
364	978	1702
365	981	1699
366	984	1697
367	986	1693
368	991	1694
369	999	1701
370	1001	1698
371	1009	1704
372	1012	1701
373	1014	1697
374	1016	1694
375	1017	1689
376	1020	1686
377	1021	1681
378	1023	1676
379	1026	1675
380	1029	1671
381	1030	1667
382	1032	1662
383	1033	1658
384	1036	1655
385	1038	1651
386	1039	1646
387	1041	1642
388	1043	1638
389	1046	1637
390	1048	1632
391	1050	1629
392	1052	1625
393	1053	1620
394	1056	1618
395	1058	1614
396	1059	1610
397	1061	1605
398	1062	1600
399	1067	1600
400	1068	1596
401	1069	1591
402	1072	1588
403	1074	1585
404	1076	1580
405	1077	1576
406	1079	1572
407	1080	1568
408	1082	1563
409	1084	1560
410	1087	1558
411	1089	1554
412	1090	1549
413	1091	1545
414	1092	1540
415	1097	1540
416	1098	1535
417	1099	1531
418	1103	1529
419	1105	1526
420	1106	1522
421	1110	1520
422	1112	1517
423	1113	1512
424	1118	1513
425	1120	1510
426	1122	1506
427	1129	1509
428	1134	1510
429	1138	1509
430	1142	1508
431	1144	1504
432	1149	1504
433	1151	1501
434	1152	1497
435	1157	1497
436	1159	1494
437	1163	1493
438	1166	1490
439	1167	1486
440	1171	1485
441	1173	1481
442	1176	1478
443	1178	1476
444	1180	1472
445	1184	1470
446	1186	1467
447	1188	1464
448	1191	1462
449	1194	1459
450	1196	1455
451	1198	1453
452	1200	1449
453	1202	1445
454	1206	1444
455	1207	1441
456	1209	1436
457	1210	1432
458	1214	1431
459	1216	1427
460	1218	1424
461	1219	1420
462	1222	1417
463	1224	1415
464	1226	1411
465	1229	1408
466	1231	1405
467	1232	1401
468	1237	1400
469	1239	1397
470	1240	1393
471	1244	1392
472	1246	1388
473	1248	1385
474	1250	1382
475	1253	1379
476	1255	1376
